Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Algeria,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,235.77864497764332,220.2779951486879,215.95990318895065,209.02116114491557,216.57159055527777,415.18932053318474,462.79445515553556,645.0021050496025,562.8843101249549,609.7410283088702,603.082324353421,685.9540612151455,609.6621721528876,703.8928060286112,707.5401512248234,664.4657182158728,622.462709508876,612.5274239415381,624.4246549387359,617.9077385454971,603.9636126462906,645.1912141496741,660.5148708748311,1105.263849022089,1188.4145531740037,1445.7785438255094,1400.7923053576474,1594.9466985256256,1918.339155468535,2028.8879459790483,2141.2252147796976,2484.6124195251323,2719.4367601305657,2778.946721712988,2719.054794284201,3092.7776200545172,3237.7833241476314,3318.892470818846,3893.9662939443347,4537.007636478407,4927.66273434729,5214.964355812809,7463.483608239369,7853.772370690127,8483.351502180505,9770.025746718145,10221.278556991521,10251.786414749451,9708.947884900346,9311.353981948889,10045.372050816699,9708.277440227255,9115.809225492087
Libya,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.39103255705188,62.53805012646141,111.96908747545469,141.8030448890736,169.59991037499586,231.4970209911012,414.2644320167852,427.53299179359146,330.118005431413,410.2604212793409,545.1634878125901,333.0700988773623,358.0192866877979,495.18215103210673,582.45732542949,724.8827700264466,831.2793049322235,387.8826373934057,447.73654026235147,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,436.0917754349807,491.91296047090344,379.8264010479595,406.52469079497405,397.7089370875448,511.1326836315811,636.1883374104473,830.7599025586403,818.3641840752081,720.0455826687313,677.6836595708635,1024.198130946901,-1.0,-1.0,-1.0,2222.176917196676,2897.522841354231,2680.9519299740077,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Morocco,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,110.53308564104363,161.1339793846178,214.4700389490442,249.99888921780058,249.42329684248605,284.45746959982097,301.90656658698623,397.25665625032394,356.90746448259205,311.3013980385842,338.19585910360155,352.8390386178859,453.9324456199557,412.17026877667485,425.8923055596615,510.6721672332022,564.8588501007356,641.9741416058207,756.5206221978547,1110.8756280513853,1559.2776747164946,1788.1679965597746,1592.7057258851653,1596.2791456007737,1837.2220026054995,1872.5533574082997,1940.2944759753148,1412.1283309918385,1269.304765522759,1818.3814152743387,1591.9286620685766,1592.8620429159503,1718.9946368872716,1858.8318195115078,1825.4417906823426,1917.0601034753277,1901.8350656508646,2006.5301391415453,2059.8971804369503,1897.1612765129985,1892.093865237912,1981.6289859854262,2005.2594860831236,1418.0147845506494,1561.502166235455,2326.215651695791,2213.2513215567724,2344.373166431351,2278.579471718501,2364.6179610265435,2387.1924497693694,2458.4152846396523,2742.320011037888,2928.3263671228306,3134.414813827662,3157.2650705968845,3384.3405291921117,3866.423156701676,3833.739316456811,3539.5980551286534,3561.1662701381433,3665.91945521919,3687.5767476276005,3764.878219955767,4830.956393511692,4997.414174245335
Tunisia,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.21737088290249,51.22999677367913,51.42811566452106,62.033511945917716,48.69524190851315,51.049967755223115,54.714307689618224,61.38514974065429,58.54173845825703,74.80722639085526,77.69168109131357,87.70064643764466,86.17462558026973,87.30662896259508,124.10387590008628,143.33849805145232,189.54497515219333,210.7960922005839,202.06004353314995,215.27423054804459,284.1884656767035,429.4368398458633,528.484575676955,361.31338831777583,313.2352614165902,268.84992676297804,243.72568146000415,281.98053547404464,291.06272732397326,267.64986182695446,273.6295833575509,275.10605590554565,286.2763396958578,296.3140608358311,300.9882700946067,346.1922190108468,341.93662358715335,348.7341998996697,345.2232265700584,360.70489757935866,374.883500307421,371.15018170272725,386.2181019094177,393.20039955382526,423.00529025437993,446.19624217358097,411.665793020437,447.6120655972885,461.63062713849365,478.93274095225996,571.3100581682885,577.0936536232357,635.358594366523,759.0740123613003,905.5937998333924,964.2577009224241,895.1673981722288,898.763719062854,1105.2552902592342,1157.3723670117813,1159.354138455715
Angola,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,167.9173083645744,215.4932486139752,187.6099490712312,112.25931599178175,98.19385302229239,1572.3568385055044,-1.0,736.959926011637,552.0615464838585,884.8057956114452,272.9101306274517,3487.787373930343,1615.619986010461,973.5335878377526,997.9224527620787,1317.8364194130195,1254.3695724072045,1777.212194365536,2087.586393112376,1830.9663453836417,2478.620406568125,2411.632052175065,2580.5819021934353,2416.2791813558933,2535.918901120007,3463.630000834355,3696.1166143917776,2179.7659707937564,1741.5089961438432,1506.739450371329,1242.286235552841,1135.1215335924142,993.5944046258786,864.8099084907627
Benin,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.647808004181066,16.635393917722375,18.161245095470253,19.71593856986074,18.64608579821193,17.745875394845047,15.499342364919151,20.532933418494768,14.661147357820019,25.98368286593168,31.234810642945714,29.00097471871362,32.46525941977557,43.012492579372996,53.470640569280995,50.69748080503629,51.62301431486438,61.52379562534769,61.14307456592653,50.684338877537506,49.217645045537964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.51274069625587,27.519459342630956,24.64700355473401,45.33969016667096,49.494824493163364,53.94160750531388,54.69530127933829,54.67546588967697,-1.0,59.23936617500319,-1.0,-1.0,-1.0,72.19592760547651,76.48510443953174,83.21877625706374,97.09664461504904,85.90642601711693,121.46271901452572,89.11189503679451,71.29853411344405,71.81781847880863,91.63598410902468
Botswana,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.762067176906468,33.71273982747795,50.55133412954099,55.46844715031083,50.192348604442884,42.00159165669158,42.05527231267641,48.94869143413736,53.36471439976177,78.29423458965537,137.0801653233095,174.9712930877685,189.4798220733032,238.72595653148872,255.88378391457343,237.50689134827132,248.89223759658168,228.98778549344692,208.2389602088631,192.21497289354934,221.72150777791575,271.41863569415125,258.18669430856727,285.6975605673364,349.51431167660866,372.5214842971035,359.35950457951884,332.35586216907865,301.18028772268616,296.5068248469647,327.00396546899094,349.99069759662996,337.2612965517603,316.2158596035648,305.8025944818492,285.04769362102843,278.2066219495887,321.8129392795521,390.36535220520346,547.934631290575,512.0296927177493,465.4990429985653,493.25006987548215,499.0274795196054,475.90276084559724
Burkina Faso,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.569717613476443,6.087391229686622,17.842311047813762,18.208906267177355,18.14156083709969,11.96992957683708,13.053209937445143,12.919658813260265,13.270376014574635,13.596745283618295,14.777689039598343,14.967250636490373,16.075489789965623,16.23334209335365,16.628402527734192,35.91906774568709,47.27683245710498,43.852089453597586,52.58099471029039,42.65183076658016,41.67834545479561,47.80147062696343,49.98876834509901,47.81216533821478,48.09990391231939,46.496989402244346,69.48711089360195,61.399112730937276,65.81725976733426,82.76211432852006,89.74565113650185,74.9003108741185,73.36634894401712,66.43139351850225,52.01988673196122,53.01952812391468,51.60184614024045,59.722665531844484,58.85381394034807,65.61985689514594,66.84452680955359,65.8520150217158,70.65605994514777,69.01323735624132,81.50448693536535,85.9718934491427,81.91744313457738,111.71186379471501,102.35734568060995,114.4771655272208,117.54795126285511,122.33189013447081,135.6393369416777,146.82975112530363,157.102817448091,155.79776816054274,157.11515345907847,195.12720242100093,291.16648157679487,371.3511745509994,382.4646773604908,428.4179908035418
Burundi,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.992536403522537,13.700359077962991,14.391171567048524,14.796284414727765,18.321076919371468,-1.0,13.923660707470638,18.366219645391926,26.070761168607756,28.755109526875437,27.603142792286796,33.058708599951395,45.192557682525845,44.52062974182472,38.28522446682794,51.65239321888406,49.751891100131814,57.4442077676243,51.4197636538767,50.46136681001364,52.74633462025958,52.71079360761814,47.375815267329145,57.3255672284679,64.19860317768847,67.66032805385083,69.30768084262799,71.23311798130347,70.41698140339088,73.73287726629054,61.40324642987978,71.14957274911477,76.77882061937281,82.33539691802623,86.30110980382027,74.22311790061315,98.41393792864474,94.3588344736143,95.88765046674817,93.16635954000041,89.25875362106304,74.55579206170067,74.90032020725035,62.489154075320684,-1.0,-1.0,-1.0,67.04564905010544,69.1122341501726,67.26410373772617,68.92264220476589,68.96393926423198,59.42475886817254,64.7806246686934,87.49252106967789,67.47409271629702,66.68442781375526
Cameroon,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.723254841889,152.6009474637591,149.60501972128293,152.32633011856663,153.5758124978732,162.65355251245242,170.96556422026012,174.42908589644713,184.46874546720133,201.8002287566617,206.7962745146539,289.2141512533048,338.00655108657435,331.68771808700455,334.51715589084955,289.43486242082406,259.08462498802623,222.94118218235494,205.62610413683595,213.0813655468223,221.16701133809153,226.00655006445066,218.7519179117308,221.22057886639362,180.44905247008393,178.73095801783762,181.47161052021733,200.59648482989175,227.20861325680443,245.41768026746487,238.36883929847207,237.45384487232602,257.21871000452376,275.914620274965,293.4929004434005,289.8230679476186,314.78451276042506,330.14297571486253,342.07742577053796,346.6937623816394,370.3543695786631,336.4048738456269,361.3826774164582,379.8051093025634,381.42484500861593,391.5839856239916,426.14988841547665,439.84071254952744,435.7073773675322,440.4726395838789,393.29939006377396,416.2439483666941
