SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 2011 to 2021 - (created: 11-03-2023)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
51029;Russia;Viet Nam;Su-30MK;FGA aircraft;Aircraft;2009;No;6;No;2011;No;New;55.0000;55.0000;330;No
54716;United States;Saudi Arabia;Paveway;guided bomb;Missiles;2009;Yes;50;Yes;2011;Yes;New;0.0200;0.0200;1;No
36470;Norway;Poland;NSM;anti-ship missile;Missiles;2008;No;6;Yes;2011;Yes;New;1.0000;1.0000;6;No
53062;Russia;Iran;BMP-2 turret;IFV turret;Other;1999;Yes;10;Yes;2011;Yes;New;0.5500;0.5500;5.5;No
35553;China;Iran;C-704;anti-ship missile;Missiles;2003;Yes;25;Yes;2011;Yes;New;0.6000;0.6000;15;Yes
33703;United States;Pakistan;Perry;frigate;Ships;2010;No;1;No;2011;No;Second hand but modernized;300.0000;198;198;No
31710;Spain;Venezuela;POVZEE;OPV;Ships;2005;No;3;No;2011;No;New;54.7500;54.7500;164.25;No
53887;Russia;Kazakhstan;BTR-82A;IFV;Armoured vehicles;2010;Yes;12;No;2011;No;New;0.9500;0.9500;11.4;No
21042;France;India;MILAN;anti-tank missile;Missiles;1979;Yes;700;Yes;2011;No;New;0.0100;0.0100;7;Yes
32771;Germany;India;MILAN;anti-tank missile;Missiles;1979;Yes;700;Yes;2011;No;New;0.0100;0.0100;7;Yes
52085;United States;UAE;AT-802U;ground attack ac;Aircraft;2010;No;6;No;2011;No;New;4.9000;4.9000;29.4;No
55262;Netherlands;Jordan;AIFV-APC;APC;Armoured vehicles;2010;No;55;No;2011;No;Second hand;0.3000;0.12;6.6;No
35304;United States;South Korea;F-15E Strike Eagle;FGA aircraft;Aircraft;2008;No;4;No;2012;No;New;70.0000;70.0000;280;Yes
35304;United States;South Korea;F-15E Strike Eagle;FGA aircraft;Aircraft;2008;No;11;No;2011;No;New;70.0000;70.0000;770;Yes
50871;Poland;United States;M28 Skytruck;light transport ac;Aircraft;2009;No;3;Yes;2011;Yes;New;2.7500;2.7500;8.25;No
22851;Switzerland;United States;PC-9;trainer aircraft;Aircraft;1996;No;55;Yes;2011;No;New;1.6500;1.6500;90.75;Yes
40332;Switzerland;Spain;Piranha-3;APC;Armoured vehicles;2007;No;4;Yes;2011;No;New;0.3100;0.3100;1.24;No
34301;United States;United Kingdom;GMLRS;guided rocket;Missiles;2005;No;474;Yes;2011;No;New;0.0800;0.0800;37.92;Yes
34601;China;Pakistan;PL-12;BVRAAM;Missiles;2006;Yes;50;Yes;2012;Yes;New;0.4000;0.4000;20;No
51405;Ukraine;Iraq;An-32;transport aircraft;Aircraft;2009;No;2;No;2011;No;New;11.0000;11.0000;22;No
53238;Israel;Paraguay;EL/M-2106NG;air search radar;Sensors;2011;No;1;No;2011;No;New;6.0000;6.0000;6;No
53724;France;Benin;FPB-98;patrol craft;Ships;2011;Yes;3;No;2012;No;New;6.5000;6.5000;19.5;No
39643;China;Pakistan;PL-5E;SRAAM;Missiles;2006;Yes;70;Yes;2012;Yes;New;0.1100;0.1100;7.7;No
51625;United States;South Korea;AIM-9X Sidewinder;BVRAAM;Missiles;2012;No;3;No;2012;No;New;0.1800;0.1800;0.54;No
53266;United States;Saudi Arabia;S-70/UH-60L;helicopter;Aircraft;2011;No;2;No;2012;Yes;New;7.2500;7.2500;14.5;No
35144;Israel;Chile;Python-4;BVRAAM;Missiles;2003;No;20;Yes;2011;Yes;New;0.1700;0.1700;3.4;No
39596;Italy;Germany;127/64LW 127mm;naval gun;Naval weapons;2007;No;1;Yes;2012;Yes;New;7.0000;7.0000;7;No
53033;United Kingdom;Australia;Enforcer;AALS;Ships;2011;No;1;No;2011;No;Second hand;100.0000;40;40;No
31041;United Kingdom;Saudi Arabia;Typhoon Block-8;FGA aircraft;Aircraft;2007;No;6;No;2011;No;New;55.0000;55.0000;330;No
